cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small_mean,chl_small_mean,pe_mean,fsc_perp_mean,flag
SCOPE_1,2014_342/2014-12-08T22-53-34+00-00,2014-12-08 22:53:34,21.2229,-156.1344,0.0639364312641756,2322.81896952585,180.116,beads,2,0.00448606122758647,1166.46283221384,228.655258812768,1289.08125522314,58.5306941597114,1
SCOPE_1,2014_342/2014-12-08T22-53-34+00-00,2014-12-08 22:53:34,21.2229,-156.1344,0.0639364312641756,2322.81896952585,180.116,picoeuk,437,0.980204378227644,721.358136688756,850.423284362854,7.28706321540709,58.5096682016169,1
SCOPE_1,2014_342/2014-12-08T22-53-34+00-00,2014-12-08 22:53:34,21.2229,-156.1344,0.0639364312641756,2322.81896952585,180.116,prochloro,94470,211.899102085047,5.21260111905894,4.72074564092224,1.42326631729821,58.4125308191874,1
SCOPE_1,2014_342/2014-12-08T22-53-34+00-00,2014-12-08 22:53:34,21.2229,-156.1344,0.0639364312641756,2322.81896952585,180.116,synecho,522,1.17086198040007,56.7651981365673,24.2755862407447,24.3965176040229,58.4637794565756,1
SCOPE_1,2014_342/2014-12-08T22-53-34+00-00,2014-12-08 22:53:34,21.2229,-156.1344,0.0639364312641756,2322.81896952585,180.116,unknown,3683,8.26108175060049,88.0071583948229,12.0831181936372,4.00089631742072,58.4386168124801,1
SCOPE_1,2014_342/2014-12-08T22-56-34+00-00,2014-12-08 22:56:34,21.2229,-156.1344,0.0646008277438698,2314.34500457889,180.112,beads,12,0.0267376764888003,1510.12789298625,586.477768866397,2531.55675326829,58.567308873808,1
SCOPE_1,2014_342/2014-12-08T22-56-34+00-00,2014-12-08 22:56:34,21.2229,-156.1344,0.0646008277438698,2314.34500457889,180.112,picoeuk,460,1.02494426540401,702.140568638692,821.636129209575,6.26532044342112,58.5132950659529,1
SCOPE_1,2014_342/2014-12-08T22-56-34+00-00,2014-12-08 22:56:34,21.2229,-156.1344,0.0646008277438698,2314.34500457889,180.112,prochloro,95021,211.720063136858,5.15569027107817,4.70341908681713,1.42404789286919,58.4196638144945,1
SCOPE_1,2014_342/2014-12-08T22-56-34+00-00,2014-12-08 22:56:34,21.2229,-156.1344,0.0646008277438698,2314.34500457889,180.112,synecho,504,1.12298241252961,59.5238048707221,23.337765509739,24.894309019616,58.4720992202872,1
SCOPE_1,2014_342/2014-12-08T22-56-34+00-00,2014-12-08 22:56:34,21.2229,-156.1344,0.0646008277438698,2314.34500457889,180.112,unknown,3697,8.2374324982579,96.1062050489828,13.8259920979858,3.50500385837535,58.445792870586,1
SCOPE_1,2014_342/2014-12-08T23-04-01+00-00,2014-12-08 23:04:01,21.2231,-156.1344,0.00991542506899142,2278.52263253396,180.05,beads,389,5.73776876940499,920.981550040227,115.783749689944,1454.89826853097,58.5575371148671,0
SCOPE_1,2014_342/2014-12-08T23-04-01+00-00,2014-12-08 23:04:01,21.2231,-156.1344,0.00991542506899142,2278.52263253396,180.05,picoeuk,190,2.8025091675757,704.58528854906,802.640333953641,6.32433004642021,58.513219455459,0
SCOPE_1,2014_342/2014-12-08T23-04-01+00-00,2014-12-08 23:04:01,21.2231,-156.1344,0.00991542506899142,2278.52263253396,180.05,prochloro,19534,288.127442523283,6.58223899029021,5.33116709629376,1.43755505288677,58.4174549956761,0
SCOPE_1,2014_342/2014-12-08T23-04-01+00-00,2014-12-08 23:04:01,21.2231,-156.1344,0.00991542506899142,2278.52263253396,180.05,synecho,183,2.69925882982291,71.4836820194164,28.2047074595853,28.1890774804931,58.4725832732894,0
SCOPE_1,2014_342/2014-12-08T23-04-01+00-00,2014-12-08 23:04:01,21.2231,-156.1344,0.00991542506899142,2278.52263253396,180.05,unknown,1032,15.2220497944112,127.306481699613,16.5527625013159,3.77877381078249,58.4472389846098,0
SCOPE_1,2014_342/2014-12-08T23-07-01+00-00,2014-12-08 23:07:01,21.2232,-156.1345,0.010080646094606,2278.52263253396,180.084,beads,109,1.58110570206059,976.703139233588,129.226696173813,1506.99568634752,58.5511434328045,0
SCOPE_1,2014_342/2014-12-08T23-07-01+00-00,2014-12-08 23:07:01,21.2232,-156.1345,0.010080646094606,2278.52263253396,180.084,picoeuk,202,2.93012249372697,705.350733666388,778.741213893483,7.32304684653601,58.5269451563374,0
SCOPE_1,2014_342/2014-12-08T23-07-01+00-00,2014-12-08 23:07:01,21.2232,-156.1345,0.010080646094606,2278.52263253396,180.084,prochloro,20209,293.142799384794,6.61223359775301,5.36358188472288,1.43960398622809,58.4224515446693,0
SCOPE_1,2014_342/2014-12-08T23-07-01+00-00,2014-12-08 23:07:01,21.2232,-156.1345,0.010080646094606,2278.52263253396,180.084,synecho,173,2.50946134363745,73.1734538144066,29.8775485625367,30.412666485511,58.4803264870877,0
SCOPE_1,2014_342/2014-12-08T23-07-01+00-00,2014-12-08 23:07:01,21.2232,-156.1345,0.010080646094606,2278.52263253396,180.084,unknown,1083,15.7095181223085,135.592425495381,16.958579916568,5.30492724662968,58.4488719110464,0
SCOPE_1,2014_342/2014-12-08T23-10-02+00-00,2014-12-08 23:10:02,21.2233,-156.1345,0.0100981700531837,2278.52263253396,84.261,beads,32,0.990326939133702,974.076081751336,120.512177644534,1530.93576740868,58.552745652309,0
SCOPE_1,2014_342/2014-12-08T23-10-02+00-00,2014-12-08 23:10:02,21.2233,-156.1345,0.0100981700531837,2278.52263253396,84.261,picoeuk,107,3.31140570272832,650.434267302555,754.117363924345,5.9631990461452,58.519395134241,0
